COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME,INCONCLUSIVE
Pinellas,64,84,14,9,162,html version of FL COVID Rep 03-19-2020,
Lee,28,35,11,15,74,html version of FL COVID Rep 03-19-2020,
Alachua,34,96,10,7,140,html version of FL COVID Rep 03-19-2020,
Manatee,7,33,9,18,49,html version of FL COVID Rep 03-19-2020,
Osceola,72,23,9,9,104,html version of FL COVID Rep 03-19-2020,
Volusia,8,25,9,21,42,html version of FL COVID Rep 03-19-2020,
Seminole,17,20,8,18,45,html version of FL COVID Rep 03-19-2020,
Sarasota,52,152,5,2,209,html version of FL COVID Rep 03-19-2020,
Clay,6,7,4,24,17,html version of FL COVID Rep 03-19-2020,
Leon,0,4,4,50,8,html version of FL COVID Rep 03-19-2020,
Okaloosa,5,26,4,11,35,html version of FL COVID Rep 03-19-2020,
Pasco,12,32,4,8,48,html version of FL COVID Rep 03-19-2020,
St. Johns,31,59,4,4,94,html version of FL COVID Rep 03-19-2020,
Citrus,3,3,3,33,9,html version of FL COVID Rep 03-19-2020,
Brevard,5,7,2,14,14,html version of FL COVID Rep 03-19-2020,
Lake,1,7,2,20,10,html version of FL COVID Rep 03-19-2020,
Polk,30,28,2,3,60,html version of FL COVID Rep 03-19-2020,
Santa Rosa,4,10,2,13,16,html version of FL COVID Rep 03-19-2020,
Charlotte,2,9,1,8,12,html version of FL COVID Rep 03-19-2020,
Escambia,5,11,1,6,17,html version of FL COVID Rep 03-19-2020,
Gadsden,0,0,1,100,1,html version of FL COVID Rep 03-19-2020,
Nassau,1,8,1,10,10,html version of FL COVID Rep 03-19-2020,
Sumter,22,17,1,3,40,html version of FL COVID Rep 03-19-2020,
Walton,18,2,1,5,21,html version of FL COVID Rep 03-19-2020,
Baker,1,5,0,0,6,html version of FL COVID Rep 03-19-2020,
Bay,2,4,0,0,6,html version of FL COVID Rep 03-19-2020,
Bradford,0,4,0,0,4,html version of FL COVID Rep 03-19-2020,
Columbia,1,8,0,0,9,html version of FL COVID Rep 03-19-2020,
Desoto,1,4,0,0,5,html version of FL COVID Rep 03-19-2020,
Dixie,0,2,0,0,2,html version of FL COVID Rep 03-19-2020,
Flagler,8,10,0,0,18,html version of FL COVID Rep 03-19-2020,
Franklin,1,1,0,0,2,html version of FL COVID Rep 03-19-2020,
Gilchrist,0,1,0,0,1,html version of FL COVID Rep 03-19-2020,
Gulf,0,1,0,0,1,html version of FL COVID Rep 03-19-2020,
Hardee,1,1,0,0,2,html version of FL COVID Rep 03-19-2020,
Hendry,1,1,0,0,2,html version of FL COVID Rep 03-19-2020,
Hernando,18,5,0,0,23,html version of FL COVID Rep 03-19-2020,
Indian River,4,11,0,0,15,html version of FL COVID Rep 03-19-2020,
Jackson,4,3,0,0,7,html version of FL COVID Rep 03-19-2020,
Lafayette,0,1,0,0,1,html version of FL COVID Rep 03-19-2020,
Levy,0,2,0,0,2,html version of FL COVID Rep 03-19-2020,
Marion,11,24,0,0,35,html version of FL COVID Rep 03-19-2020,
Martin,10,1,0,0,11,html version of FL COVID Rep 03-19-2020,
Monroe,20,10,0,0,30,html version of FL COVID Rep 03-19-2020,
Okeechobee,4,6,0,0,10,html version of FL COVID Rep 03-19-2020,
Putnam,11,13,0,0,24,html version of FL COVID Rep 03-19-2020,
St. Lucie,5,4,0,0,9,html version of FL COVID Rep 03-19-2020,
Suwannee,1,3,0,0,4,html version of FL COVID Rep 03-19-2020,
Union,5,3,0,0,8,html version of FL COVID Rep 03-19-2020,
Unknown,2,0,0,0,2,html version of FL COVID Rep 03-19-2020,
Washington,1,0,0,0,1,html version of FL COVID Rep 03-19-2020,
Total,1019,1533,390,13,,html version of FL COVID Rep 03-19-2020,
Broward,266,1036,128,11,1164,html version of FL COVID Rep 03-20-2020,
Dade,113,838,123,13,961,html version of FL COVID Rep 03-20-2020,
Palm Beach,9,264,42,14,306,html version of FL COVID Rep 03-20-2020,
Hillsborough,9,636,32,5,668,html version of FL COVID Rep 03-20-2020,
Collier,34,103,25,20,128,html version of FL COVID Rep 03-20-2020,
Orange,13,400,23,5,423,html version of FL COVID Rep 03-20-2020,
Pinellas,43,272,22,7,294,html version of FL COVID Rep 03-20-2020,
Duval,27,174,17,9,191,html version of FL COVID Rep 03-20-2020,
Alachua,50,273,15,5,288,html version of FL COVID Rep 03-20-2020,
Lee,33,78,14,15,92,html version of FL COVID Rep 03-20-2020,
Osceola,91,97,13,12,110,html version of FL COVID Rep 03-20-2020,
Manatee,17,61,10,14,71,html version of FL COVID Rep 03-20-2020,
Seminole,24,103,10,9,113,html version of FL COVID Rep 03-20-2020,
Volusia,7,58,10,15,68,html version of FL COVID Rep 03-20-2020,
Polk,25,108,9,8,117,html version of FL COVID Rep 03-20-2020,
Sarasota,64,232,8,3,240,html version of FL COVID Rep 03-20-2020,
Okaloosa,8,32,7,18,39,html version of FL COVID Rep 03-20-2020,
Pasco,16,102,7,6,109,html version of FL COVID Rep 03-20-2020,
St. Johns,25,132,7,5,139,html version of FL COVID Rep 03-20-2020,
Brevard,5,37,4,10,41,html version of FL COVID Rep 03-20-2020,
Clay,11,39,4,9,43,html version of FL COVID Rep 03-20-2020,
Hernando,12,23,4,15,27,html version of FL COVID Rep 03-20-2020,
Leon,0,84,4,5,88,html version of FL COVID Rep 03-20-2020,
Citrus,9,16,3,16,19,html version of FL COVID Rep 03-20-2020,
Indian River,9,29,3,9,32,html version of FL COVID Rep 03-20-2020,
Lake,5,34,3,8,37,html version of FL COVID Rep 03-20-2020,
Santa Rosa,1,23,3,12,26,html version of FL COVID Rep 03-20-2020,
Walton,12,17,3,15,20,html version of FL COVID Rep 03-20-2020,
Charlotte,0,33,2,6,35,html version of FL COVID Rep 03-20-2020,
Sumter,13,36,2,5,38,html version of FL COVID Rep 03-20-2020,
Escambia,3,21,1,5,22,html version of FL COVID Rep 03-20-2020,
Gadsden,0,7,1,13,8,html version of FL COVID Rep 03-20-2020,
Jackson,7,7,1,13,8,html version of FL COVID Rep 03-20-2020,
Martin,5,26,1,4,27,html version of FL COVID Rep 03-20-2020,
Monroe,22,21,1,5,22,html version of FL COVID Rep 03-20-2020,
Nassau,2,14,1,7,15,html version of FL COVID Rep 03-20-2020,
Baker,2,6,0,0,6,html version of FL COVID Rep 03-20-2020,
Bay,4,15,0,0,15,html version of FL COVID Rep 03-20-2020,
Bradford,1,5,0,0,5,html version of FL COVID Rep 03-20-2020,
Calhoun,1,2,0,0,2,html version of FL COVID Rep 03-20-2020,
Columbia,3,13,0,0,13,html version of FL COVID Rep 03-20-2020,
Desoto,4,4,0,0,4,html version of FL COVID Rep 03-20-2020,
Dixie,0,2,0,0,2,html version of FL COVID Rep 03-20-2020,
Flagler,1,39,0,0,39,html version of FL COVID Rep 03-20-2020,
Franklin,2,3,0,0,3,html version of FL COVID Rep 03-20-2020,
Gilchrist,0,1,0,0,1,html version of FL COVID Rep 03-20-2020,
Gulf,8,1,0,0,1,html version of FL COVID Rep 03-20-2020,
Hamilton,0,1,0,0,1,html version of FL COVID Rep 03-20-2020,
Hardee,1,3,0,0,3,html version of FL COVID Rep 03-20-2020,
Hendry,1,6,0,0,6,html version of FL COVID Rep 03-20-2020,
Highlands,0,5,0,0,5,html version of FL COVID Rep 03-20-2020,
Holmes,0,2,0,0,2,html version of FL COVID Rep 03-20-2020,
Jefferson,1,1,0,0,1,html version of FL COVID Rep 03-20-2020,
Lafayette,0,1,0,0,1,html version of FL COVID Rep 03-20-2020,
Levy,0,9,0,0,9,html version of FL COVID Rep 03-20-2020,
Madison,0,1,0,0,1,html version of FL COVID Rep 03-20-2020,
Marion,42,40,0,0,40,html version of FL COVID Rep 03-20-2020,
Okeechobee,8,7,0,0,7,html version of FL COVID Rep 03-20-2020,
Putnam,11,26,0,0,26,html version of FL COVID Rep 03-20-2020,
St. Lucie,9,21,0,0,21,html version of FL COVID Rep 03-20-2020,
Suwannee,3,4,0,0,4,html version of FL COVID Rep 03-20-2020,
Taylor,0,5,0,0,5,html version of FL COVID Rep 03-20-2020,
Union,0,9,0,0,9,html version of FL COVID Rep 03-20-2020,
Unknown,1,4,0,0,4,html version of FL COVID Rep 03-20-2020,
Wakulla,0,6,0,0,6,html version of FL COVID Rep 03-20-2020,
Washington,2,6,0,0,6,html version of FL COVID Rep 03-20-2020,
Total,1095,5714,563,9,6277,html version of FL COVID Rep 03-20-2020,
Dade,97,1211,169,12,1381,html version of FL COVID Rep 03-21-2020(PM),1
Broward,262,1313,164,11,1477,html version of FL COVID Rep 03-21-2020(PM),0
Palm Beach,10,348,56,14,404,html version of FL COVID Rep 03-21-2020(PM),0
Hillsborough,10,772,47,6,819,html version of FL COVID Rep 03-21-2020(PM),0
Orange,14,454,29,6,483,html version of FL COVID Rep 03-21-2020(PM),0
Pinellas,37,337,29,8,366,html version of FL COVID Rep 03-21-2020(PM),0
Collier,30,158,28,15,186,html version of FL COVID Rep 03-21-2020(PM),0
Alachua,27,393,25,6,418,html version of FL COVID Rep 03-21-2020(PM),0
Duval,41,294,25,8,319,html version of FL COVID Rep 03-21-2020(PM),0
Osceola,65,139,21,13,160,html version of FL COVID Rep 03-21-2020(PM),0
Lee,38,117,17,13,134,html version of FL COVID Rep 03-21-2020(PM),0
Sarasota,47,257,14,5,271,html version of FL COVID Rep 03-21-2020(PM),0
Manatee,8,80,13,14,93,html version of FL COVID Rep 03-21-2020(PM),0
Okaloosa,4,41,12,23,53,html version of FL COVID Rep 03-21-2020(PM),0
Seminole,31,120,12,9,132,html version of FL COVID Rep 03-21-2020(PM),0
Volusia,5,67,11,14,78,html version of FL COVID Rep 03-21-2020(PM),0
Polk,21,140,10,7,150,html version of FL COVID Rep 03-21-2020(PM),0
St. Johns,22,171,9,5,180,html version of FL COVID Rep 03-21-2020(PM),0
Citrus,19,32,8,20,40,html version of FL COVID Rep 03-21-2020(PM),0
Pasco,16,133,8,6,141,html version of FL COVID Rep 03-21-2020(PM),0
Clay,8,56,6,10,62,html version of FL COVID Rep 03-21-2020(PM),0
Hernando,10,38,6,14,44,html version of FL COVID Rep 03-21-2020(PM),0
Brevard,5,62,5,7,67,html version of FL COVID Rep 03-21-2020(PM),0
Indian River,9,47,5,10,52,html version of FL COVID Rep 03-21-2020(PM),0
Lake,4,63,4,6,67,html version of FL COVID Rep 03-21-2020(PM),0
Leon,1,93,4,4,97,html version of FL COVID Rep 03-21-2020(PM),0
Sumter,2,47,4,8,51,html version of FL COVID Rep 03-21-2020(PM),0
Walton,13,18,4,18,22,html version of FL COVID Rep 03-21-2020(PM),0
Santa Rosa,1,27,3,10,30,html version of FL COVID Rep 03-21-2020(PM),0
Charlotte,0,42,2,5,44,html version of FL COVID Rep 03-21-2020(PM),0
Marion,44,51,2,4,53,html version of FL COVID Rep 03-21-2020(PM),0
Baker,4,9,1,10,10,html version of FL COVID Rep 03-21-2020(PM),0
Bay,5,18,1,5,19,html version of FL COVID Rep 03-21-2020(PM),0
Escambia,2,29,1,3,30,html version of FL COVID Rep 03-21-2020(PM),0
Gadsden,0,12,1,8,13,html version of FL COVID Rep 03-21-2020(PM),0
Jackson,8,9,1,10,10,html version of FL COVID Rep 03-21-2020(PM),0
Martin,5,28,1,3,29,html version of FL COVID Rep 03-21-2020(PM),0
Monroe,20,29,1,3,30,html version of FL COVID Rep 03-21-2020(PM),0
Nassau,2,17,1,6,18,html version of FL COVID Rep 03-21-2020(PM),0
Putnam,5,39,1,3,40,html version of FL COVID Rep 03-21-2020(PM),0
St. Lucie,6,68,1,1,69,html version of FL COVID Rep 03-21-2020(PM),0
Unknown,1,5,1,17,6,html version of FL COVID Rep 03-21-2020(PM),0
Bradford,1,9,0,0,9,html version of FL COVID Rep 03-21-2020(PM),0
Calhoun,1,3,0,0,3,html version of FL COVID Rep 03-21-2020(PM),0
Columbia,14,15,0,0,15,html version of FL COVID Rep 03-21-2020(PM),0
Desoto,3,5,0,0,5,html version of FL COVID Rep 03-21-2020(PM),0
Dixie,0,4,0,0,4,html version of FL COVID Rep 03-21-2020(PM),0
Flagler,1,46,0,0,46,html version of FL COVID Rep 03-21-2020(PM),0
Franklin,2,3,0,0,3,html version of FL COVID Rep 03-21-2020(PM),0
Gilchrist,0,2,0,0,2,html version of FL COVID Rep 03-21-2020(PM),0
Gulf,6,3,0,0,3,html version of FL COVID Rep 03-21-2020(PM),0
Hamilton,1,1,0,0,1,html version of FL COVID Rep 03-21-2020(PM),0
Hardee,0,4,0,0,4,html version of FL COVID Rep 03-21-2020(PM),0
Hendry,2,6,0,0,6,html version of FL COVID Rep 03-21-2020(PM),0
Highlands,0,8,0,0,8,html version of FL COVID Rep 03-21-2020(PM),0
Holmes,0,2,0,0,2,html version of FL COVID Rep 03-21-2020(PM),0
Jefferson,0,3,0,0,3,html version of FL COVID Rep 03-21-2020(PM),0
Lafayette,1,3,0,0,3,html version of FL COVID Rep 03-21-2020(PM),0
Levy,0,13,0,0,13,html version of FL COVID Rep 03-21-2020(PM),0
Madison,0,3,0,0,3,html version of FL COVID Rep 03-21-2020(PM),0
Okeechobee,5,10,0,0,10,html version of FL COVID Rep 03-21-2020(PM),0
Suwannee,6,7,0,0,7,html version of FL COVID Rep 03-21-2020(PM),0
Taylor,0,6,0,0,6,html version of FL COVID Rep 03-21-2020(PM),0
Union,0,14,0,0,14,html version of FL COVID Rep 03-21-2020(PM),0
Wakulla,0,8,0,0,8,html version of FL COVID Rep 03-21-2020(PM),0
Washington,2,8,0,0,8,html version of FL COVID Rep 03-21-2020(PM),0
Total,1004,7570,763,9,8334,html version of FL COVID Rep 03-21-2020(PM),1
Dade,93,1480,228,13,1709,html version of FL COVID Rep 03-22-2020(PM),1
Broward,207,1664,217,12,1881,html version of FL COVID Rep 03-22-2020(PM),0
Palm Beach,15,402,72,15,474,html version of FL COVID Rep 03-22-2020(PM),0
Hillsborough,6,957,58,6,1015,html version of FL COVID Rep 03-22-2020(PM),0
Duval,42,389,39,9,428,html version of FL COVID Rep 03-22-2020(PM),0
Pinellas,25,408,38,9,446,html version of FL COVID Rep 03-22-2020(PM),0
Alachua,21,528,35,6,563,html version of FL COVID Rep 03-22-2020(PM),0
Collier,27,209,33,14,242,html version of FL COVID Rep 03-22-2020(PM),0
Orange,15,509,33,6,542,html version of FL COVID Rep 03-22-2020(PM),0
Lee,21,168,26,13,194,html version of FL COVID Rep 03-22-2020(PM),0
Osceola,65,151,24,14,175,html version of FL COVID Rep 03-22-2020(PM),0
Seminole,28,145,19,12,164,html version of FL COVID Rep 03-22-2020(PM),0
Sarasota,52,287,17,6,304,html version of FL COVID Rep 03-22-2020(PM),0
St. Johns,32,194,16,8,210,html version of FL COVID Rep 03-22-2020(PM),0
Okaloosa,9,47,14,23,61,html version of FL COVID Rep 03-22-2020(PM),0
Volusia,5,85,14,14,99,html version of FL COVID Rep 03-22-2020(PM),0
Manatee,7,93,13,12,106,html version of FL COVID Rep 03-22-2020(PM),0
Pasco,15,166,11,6,177,html version of FL COVID Rep 03-22-2020(PM),0
Polk,21,161,11,6,172,html version of FL COVID Rep 03-22-2020(PM),0
Citrus,22,47,8,15,55,html version of FL COVID Rep 03-22-2020(PM),0
Indian River,4,61,8,12,69,html version of FL COVID Rep 03-22-2020(PM),0
Brevard,1,82,7,8,89,html version of FL COVID Rep 03-22-2020(PM),0
Clay,9,69,7,9,76,html version of FL COVID Rep 03-22-2020(PM),0
Lake,5,83,6,7,89,html version of FL COVID Rep 03-22-2020(PM),0
Hernando,12,48,5,9,53,html version of FL COVID Rep 03-22-2020(PM),0
Leon,2,111,5,4,116,html version of FL COVID Rep 03-22-2020(PM),0
Sumter,1,54,5,8,59,html version of FL COVID Rep 03-22-2020(PM),0
Escambia,2,41,4,9,45,html version of FL COVID Rep 03-22-2020(PM),0
Santa Rosa,4,31,4,11,35,html version of FL COVID Rep 03-22-2020(PM),0
Walton,13,18,4,18,22,html version of FL COVID Rep 03-22-2020(PM),0
Marion,42,66,3,4,69,html version of FL COVID Rep 03-22-2020(PM),0
St. Lucie,3,82,3,4,85,html version of FL COVID Rep 03-22-2020(PM),0
Baker,6,9,2,18,11,html version of FL COVID Rep 03-22-2020(PM),0
Charlotte,1,48,2,4,50,html version of FL COVID Rep 03-22-2020(PM),0
Columbia,16,17,2,11,19,html version of FL COVID Rep 03-22-2020(PM),0
Martin,1,50,2,4,52,html version of FL COVID Rep 03-22-2020(PM),0
Putnam,30,45,2,4,47,html version of FL COVID Rep 03-22-2020(PM),0
Bay,3,22,1,4,23,html version of FL COVID Rep 03-22-2020(PM),0
Bradford,0,13,1,7,14,html version of FL COVID Rep 03-22-2020(PM),0
Desoto,9,8,1,11,9,html version of FL COVID Rep 03-22-2020(PM),0
Flagler,1,48,1,2,49,html version of FL COVID Rep 03-22-2020(PM),0
Gadsden,0,13,1,7,14,html version of FL COVID Rep 03-22-2020(PM),0
Highlands,1,8,1,11,9,html version of FL COVID Rep 03-22-2020(PM),0
Jackson,4,15,1,6,16,html version of FL COVID Rep 03-22-2020(PM),0
Monroe,19,32,1,3,33,html version of FL COVID Rep 03-22-2020(PM),0
Nassau,0,20,1,5,21,html version of FL COVID Rep 03-22-2020(PM),0
Unknown,2,5,1,17,6,html version of FL COVID Rep 03-22-2020(PM),0
Calhoun,0,5,0,0,5,html version of FL COVID Rep 03-22-2020(PM),0
Dixie,0,6,0,0,6,html version of FL COVID Rep 03-22-2020(PM),0
Franklin,0,8,0,0,8,html version of FL COVID Rep 03-22-2020(PM),0
Gilchrist,0,5,0,0,5,html version of FL COVID Rep 03-22-2020(PM),0
Gulf,0,9,0,0,9,html version of FL COVID Rep 03-22-2020(PM),0
Hamilton,2,2,0,0,2,html version of FL COVID Rep 03-22-2020(PM),0
Hardee,0,5,0,0,5,html version of FL COVID Rep 03-22-2020(PM),0
Hendry,2,12,0,0,12,html version of FL COVID Rep 03-22-2020(PM),0
Holmes,0,2,0,0,2,html version of FL COVID Rep 03-22-2020(PM),0
Jefferson,0,4,0,0,4,html version of FL COVID Rep 03-22-2020(PM),0
Lafayette,0,4,0,0,4,html version of FL COVID Rep 03-22-2020(PM),0
Levy,0,16,0,0,16,html version of FL COVID Rep 03-22-2020(PM),0
Madison,0,3,0,0,3,html version of FL COVID Rep 03-22-2020(PM),0
Okeechobee,3,14,0,0,14,html version of FL COVID Rep 03-22-2020(PM),0
Suwannee,4,9,0,0,9,html version of FL COVID Rep 03-22-2020(PM),0
Taylor,0,6,0,0,6,html version of FL COVID Rep 03-22-2020(PM),0
Union,0,15,0,0,15,html version of FL COVID Rep 03-22-2020(PM),0
Wakulla,0,8,0,0,8,html version of FL COVID Rep 03-22-2020(PM),0
Washington,2,8,0,0,8,html version of FL COVID Rep 03-22-2020(PM),0
Total,932,9330,1007,10,10338,html version of FL COVID Rep 03-22-2020(PM),1
Broward,208,1395,180,11,1575,html version of FL COVID Rep 03-22-2020,0
Dade,82,1246,177,12,1424,html version of FL COVID Rep 03-22-2020,1
